-1145 653 484 833
-1135 695 530 893
-1125 494 381 638
-1115 485 360 617
-1105 529 391 674
-1095 589 450 755
-1085 576 437 734
-1075 622 471 811
-1065 640 497 826
-1055 642 475 789
-1045 541 401 701
-1035 610 464 766
-1025 611 471 776
-1015 584 430 755
-1005 513 388 676
 -995 509 372 665
 -985 561 429 713
 -975 508 384 665
 -965 480 367 614
 -955 618 483 782
 -945 606 452 778
 -935 541 404 720
 -925 516 373 685
 -915 469 334 618
 -905 445 322 593
 -895 406 294 536
 -885 432 298 574
 -875 495 355 647
 -865 527 367 681
 -855 552 409 711
 -845 535 399 720
 -835 459 330 597
 -825 448 322 588
 -815 420 303 558
 -805 346 242 467
 -795 268 174 369
 -785 261 171 360
 -775 287 190 404
 -765 262 171 359
 -755 253 154 355
 -745 253 160 354
 -735 276 189 371
 -725 281 189 383
 -715 307 207 416
 -705 338 241 453
 -695 389 287 518
 -685 640 500 800
 -675 661 516 851
 -665 403 304 515
 -655 410 316 508
 -645 588 472 726
 -635 602 474 752
 -625 593 466 740
 -615 585 457 708
 -605 664 522 830
 -595 583 473 726
 -585 557 432 722
 -575 623 483 784
 -565 612 458 751
 -555 607 466 777
 -545 518 396 647
 -535 470 358 598
 -525 535 394 670
 -515 471 359 600
 -505 488 365 624
 -495 530 416 694
 -485 528 389 678
 -475 513 411 642
 -465 603 480 760
 -455 636 496 830
 -445 598 440 764
 -435 671 523 860
 -425 645 497 827
 -415 598 456 767
 -405 399 304 498
 -395 279 194 378
 -385 237 156 329
 -375 256 174 341
 -365 273 190 364
 -355 226 150 311
 -345 202 130 285
 -335 240 168 328
 -325 303 217 406
 -315 394 292 508
 -305 410 307 546
 -295 479 370 597
 -285 559 432 703
 -275 598 461 744
 -265 624 485 794
 -255 541 398 722
 -245 622 479 775
 -235 588 445 746
 -225 512 391 637
 -215 637 515 780
 -205 465 371 582
 -195 401 299 508
 -185 456 347 583
 -175 449 335 568
 -165 399 309 499
 -155 407 306 520
 -145 448 347 553
 -135 515 399 647
 -125 565 454 699
 -115 520 406 646
 -105 497 391 628
  -95 522 422 639
  -85 478 369 611
  -75 571 454 699
  -65 607 485 760
  -55 547 444 657
  -45 460 356 559
  -35 415 321 515
  -25 523 412 632
  -15 501 407 611
   -5 620 477 751
    5 469 374 586
   15 549 439 684
   25 487 377 626
   35 521 400 662
   45 613 487 758
   55 512 395 629
   65 509 397 623
   75 471 378 571
   85 441 336 558
   95 459 356 565
  105 561 433 703
  115 573 451 728
  125 482 380 600
  135 384 291 484
  145 442 350 553
  155 483 371 601
  165 516 402 648
  175 513 397 639
  185 542 424 678
  195 596 464 748
  205 593 457 774
  215 545 420 683
  225 512 404 643
  235 460 351 591
  245 413 329 521
  255 374 287 474
  265 310 228 395
  275 428 329 538
  285 506 410 631
  295 529 426 651
  305 622 491 782
  315 561 439 689
  325 511 390 644
  335 484 371 608
  345 475 367 588
  355 510 393 635
  365 569 446 709
  375 597 482 732
  385 519 409 633
  395 524 416 657
  405 517 401 644
  415 477 378 595
  425 426 328 531
  435 388 299 497
  445 428 331 531
  455 491 393 603
  465 491 383 611
  475 508 411 620
  485 609 488 740
  495 664 542 793
  505 637 505 785
  515 640 519 769
  525 684 548 843
  535 538 434 668
  545 465 383 567
  555 519 433 645
  565 491 404 590
  575 496 393 601
  585 515 430 620
  595 522 431 625
  605 470 378 560
  615 481 398 581
  625 516 420 626
  635 528 419 640
  645 450 356 535
  655 363 293 447
  665 319 243 402
  675 319 240 415
  685 316 234 401
  695 318 235 407
  705 374 299 468
  715 367 298 479
  725 374 279 458
  735 406 333 478
  745 535 434 645
  755 566 481 664
  765 475 390 567
  775 343 280 418
  785 323 245 388
  795 459 381 538
  805 419 338 514
  815 425 343 511
  825 441 367 529
  835 475 389 576
  845 526 422 630
  855 534 435 625
  865 523 427 623
  875 517 418 615
  885 446 353 527
  895 353 290 421
  905 342 270 419
  915 456 367 540
  925 589 482 722
  935 545 448 649
  945 513 426 612
  955 541 454 627
  965 522 438 609
  975 471 396 546
  985 425 361 496
  995 368 302 446
 1005 445 377 511
 1015 424 357 492
 1025 304 243 366
 1035 301 237 371
 1045 288 227 357
 1055 265 202 332
 1065 336 273 401
 1075 385 321 458
 1085 494 417 571
 1095 516 451 598
 1105 516 449 595
 1115 523 449 612
 1125 502 432 582
 1135 539 453 631
 1145 534 451 615
 1155 417 351 484
 1165 410 344 472
 1175 458 383 530
 1185 434 367 517
 1195 478 409 563
 1205 501 429 579
 1215 421 356 492
 1225 372 302 448
 1235 416 348 484
 1245 465 396 544
 1255 483 419 548
 1265 415 350 473
 1275 344 286 406
 1285 284 226 351
 1295 260 204 320
 1305 265 205 331
 1315 265 209 325
 1325 239 182 299
 1335 284 227 345
 1345 381 318 448
 1355 481 410 562
 1365 564 481 650
 1375 546 457 634
 1385 393 332 463
 1395 307 250 369
 1405 280 226 337
 1415 255 199 315
 1425 249 199 310
 1435 227 176 288
 1445 183 129 240
 1455 150  94 211
 1465 167 111 225
 1475 194 140 255
 1485 203 147 260
 1495 203 154 253
 1505 205 158 255
 1515 198 150 248
 1525 196 147 245
 1535 233 187 284
 1545 289 236 346
 1555 336 281 394
 1565 341 290 394
 1575 395 332 457
 1585 413 349 476
 1595 500 433 568
 1605 548 473 634
 1615 442 384 517
 1625 394 333 463
 1635 342 294 398
 1645 274 229 326
 1655 263 213 324
 1665 242 190 296
 1675 213 166 264
 1685 193 146 243
 1695 194 151 241
 1705 221 178 272
 1715 238 192 289
 1725 359 303 419
 1735 489 427 555
 1745 488 425 559
 1755 458 397 519
 1765 524 460 589
 1775 499 447 552
 1785 685 612 763
 1795 509 449 576
 1805 363 305 424
 1815 323 275 378
 1825 392 340 449
 1835 504 460 557
 1845 469 426 522
 1855 506 457 555
 1865 504 462 546
 1875 490 439 544
 1885 435 393 485
 1895 347 309 384
 1905 386 339 432
 1915 392 338 447
 1925 453 376 537
 1935 441 355 539
 1945 430 333 546
